source_dataset	source_accession	source_repository	publication_doi	verified_title	journal	publication_year	volume	pages	source_url	reference_or_access_note
AllenM1	AllenM1	Allen Brain Map	10.1038/s41586-021-03465-8	Comparative cellular analysis of motor cortex in human, marmoset and mouse	Nature	2021	598	111-119	https://brain-map.org/our-research/cell-types-taxonomies/cell-types-database-rna-seq-data/human-m1-10x	Public Allen Human M1 10x source files.
EGAD00001006049	EGAD00001006049	EGA / BTSatlas Zenodo	10.1126/science.adf1226	Comprehensive cell atlas of the first-trimester developing human brain	Science	2023	382		https://zenodo.org/records/10939707	Original EGA dataset is controlled-access; workflow uses public BTSatlas-derived split object.
EGAS00001006537	EGAS00001006537	EGA	10.1016/j.biopsych.2022.06.033	Single-Nuclei RNA Sequencing of 5 Regions of the Human Prenatal Brain Implicates Developing Neuron Populations in Genetic Risk for Schizophrenia	Biological Psychiatry	2023	93	157-166	https://ega-archive.org/studies/EGAS00001006537	Controlled-access EGA study; cite the source publication and EGA study page.
GSE103723	GSE103723	GEO	10.1038/s41422-018-0053-3	Spatial transcriptomic survey of human embryonic cerebral cortex by single-cell RNA-seq analysis	Cell Research	2018	28	730-745	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE103723	Public GEO record.
GSE104276	GSE104276	GEO	10.1038/nature25980	A single-cell RNA-seq survey of the developmental landscape of the human prefrontal cortex	Nature	2018	555	524-528	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104276	Public GEO record.
GSE144136	GSE144136	GEO	10.1038/s41593-020-0621-y	Single-nucleus transcriptomics of the prefrontal cortex in major depressive disorder implicates oligodendrocyte precursor cells and excitatory neurons	Nature Neuroscience	2020	23	771-781	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144136	Public GEO record; GEO lists PMID 32341540 as the source publication.
GSE168408	GSE168408	GEO	10.1016/j.cell.2022.09.039	Human prefrontal cortex gene regulatory dynamics from gestation to adulthood at single-cell resolution	Cell	2022	185	4428-4447.e28	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168408	Public GEO record; GEO lists PMID 36318921.
GSE178175	GSE178175	GEO	10.1038/s41587-022-01231-3	Single-nuclei isoform RNA sequencing unlocks barcoded exon connectivity in frozen brain tissue	Nature Biotechnology	2022	40	1082-1092	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178175	Public GEO record; GEO lists PMID 35256815 as the source publication.
GSE186538	GSE186538	GEO	10.1016/j.neuron.2021.10.036	Transcriptomic taxonomy and neurogenic trajectories of adult human, macaque, and pig hippocampal and entorhinal cells	Neuron	2022	110	452-469.e14	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186538	Public GEO record.
GSE199762	GSE199762; phs003509.v1.p1	GEO / dbGaP	10.1038/s41586-023-06981-x	Protracted neuronal recruitment in the temporal lobes of young children	Nature	2024	626	1056-1065	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199762	Public GEO supplementary files are downloadable; dbGaP phs003509.v1.p1 requires application.
GSE202210	GSE202210	GEO	10.1126/scitranslmed.abo1997	Single-cell transcriptomic and proteomic analysis of Parkinson’s disease brains	Science Translational Medicine	2024	16		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202210	Public GEO record; GEO lists PMID 39475571.
GSE204683	GSE204683	GEO / CELLxGENE	10.1126/sciadv.adg3754	Multi-omic profiling of the developing human cerebral cortex at the single-cell level	Science Advances	2023	9		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE204683	Public GEO and CELLxGENE files.
GSE207334	GSE207334	GEO	10.1126/science.abo7257	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	Science	2022	377		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207334	Public GEO record.
GSE212606	GSE212606	GEO	10.1016/j.cell.2023.08.042	Tracking cell-type-specific temporal dynamics in human and mouse brains	Cell	2023	186	4345-4364.e24	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212606	Public GEO record.
GSE217511	GSE217511	GEO	10.1038/s41467-022-34975-2	An atlas of late prenatal human neurodevelopment resolved by single-nucleus transcriptomics	Nature Communications	2022	13		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217511	Public GEO record.
GSE261983	GSE261983	GEO	10.1126/science.adi5199	Single-cell genomics and regulatory networks for 388 human brains	Science	2024	384		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261983	Public GEO record.
GSE296073	GSE296073	GEO / Zenodo	10.1038/s41586-025-09362-8	Microglia regulate GABAergic neurogenesis in prenatal human brain through IGF1	Nature	2025	646	676-686	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296073	Public GEO plus public Zenodo files used by current workflow.
GSE67835	GSE67835	GEO	10.1073/pnas.1507125112	A survey of human brain transcriptome diversity at the single cell level	Proceedings of the National Academy of Sciences	2015	112	7285-7290	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67835	Public GEO record.
GSE81475	GSE81475	GEO	10.1016/j.celrep.2016.08.038	Zika Virus Disrupts Phospho-TBK1 Localization and Mitosis in Human Neuroepithelial Stem Cells and Radial Glia	Cell Reports	2016	16	2576-2592	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81475	Public GEO record.
GSE97942	GSE97942	GEO	10.1038/nbt.4038	Integrative single-cell analysis of transcriptional and epigenetic states in the human adult brain	Nature Biotechnology	2018	36	70-80	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE97942	Public GEO record; workflow uses GSE97930 snDrop-seq files under this series.
HYPOMAP	HYPOMAP	CELLxGENE	10.1038/s41586-024-08504-8	A comprehensive spatio-cellular map of the human hypothalamus	Nature	2025	639	708-716	https://cellxgene.cziscience.com/collections/d0941303-7ce3-4422-9249-cf31eb98c480	Public CELLxGENE h5ad file.
Li_et_al_2018	Li et al. 2018	publication supplement / Brain Cell Atlas	10.1126/science.aat7615	Integrative functional genomic analysis of human brain development and neuropsychiatric risks	Science	2018	362		https://www.braincellatlas.org/	Current workflow uses the Brain Cell Atlas extracted result; the previous /dataSet route returned HTTP 404 on 2026-06-30 and should be checked manually in the JavaScript portal.
Ma_et_al_2022	Ma et al. 2022	Sestan lab / BrainSCOPE / GEO	10.1126/science.abo7257	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	Science	2022	377		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207334	Companion prepared Ma_Sestan_mat.rds is source-specific; GSE207334 multiome files are public GEO.
