Species,Altas,Tissue,Status,Platform,Seq-type,Year,Accession
Human,Adult,Substantia nigra,Healthy,Chromium,snRNA-seq,2020,GSE140231
Human,Fetal,Ganglionic eminences,Development,Chromium,scRNA-seq,2021,GSE135827
Human,Adult,Amygdala;Cerebral cortex;Basal ganglia;Hippocampus,Healthy,Chromium,snRNA-seq,2021,Tran_et_al_2021
Human,Adult,Cerebral cortex,Healthy,Smart-seq v4,scRNA-seq,2019,Allen_MultipleCorticalAreas
Human,Adult,Motor cortex,Healthy,Chromium,snRNA-seq,2020,Allen_M1
Human,Human,Middle Temporal Gyrus,Healthy,Smart-seq,snRNA-seq,2019,Allen_MTG
Human,Fetal,Ganglionic eminences,Development,Chromium,scRNA-seq,2021,GSE165388
Human,Fetal,Brain;Spinal cord,Development,Smart-seq2,scRNA-seq,2020,GSE141862
Human,Adult,Hippocampus,Healthy,Chromium,snRNA-seq,2021,GSE160189
Human,Adult,Cerebral cortex;Cerebellum,Healthy,Drop-seq,snRNA-seq,2017,GSE97930
Human,Fetal,Cerebral cortex,Development,STRT-seq,scRNA-seq,2018,GSE103723
Human,Adult,Basal ganglia,Healthy,Chromium,snRNA-seq,2019,GSE126836
Human,Fetal,Cerebral cortex,Development,Chromium,scRNA-seq,2021,GSE162170
Human,Fetal,Hippocampus,Development,Chromium,scRNA-seq,2020,GSE119212
Human,Fetal,Cerebral cortex,Development,Chromium,scRNA-seq,2017,Nowakowski_et_al_2017
Human,Adult,Prefrontal cortex,Healthy,Chromium,snRNA-seq,2022,GSE207334
Human,Adult,Cerebral cortex,Healthy,STRT-seq2,snRNA-seq,2017,GSE101601
Human,Adult,Cingulate cortex,Healthy,Chromium,snRNA-seq,2019,syn22213200
Human,Adult,Cerebral cortex,Healthy,Chromium,scRNA-seq,2018,Li_et_al_2018
Human,Fetal,Prefrontal cortex,Development,Smart-seq2,scRNA-seq,2018,GSE104276
Human,Adult,Hippocampus,Development,Split-seq,snRNA-seq,2022,GSE199243
Human,Adult,Hippocampus,Development,Split-seq,snRNA-seq,2022,GSE185277andGSE185553andGSE198323
Human,Fetal,Pituitary gland,Development,Modified split-seq,scRNA-seq,2020,GSE142653
Human,Adult,Thalamus,Healthy,Smart-seq v4,snRNA-seq,2021,GSE182211
Human,Adult,Hippocampus,Healthy,Chromium,snRNA-seq,2021,GSE186538
Human,Fetal,Midbrain,Development,STRT-seq,scRNA-seq,2016,GSE76381
Human,Human,Cerebral cortex,Healthy,Chromium,scRNA-seq,2019,GSE129519
Human,Human,Cerebellum,Healthy,Chromium,snRNA-seq,2023,GSE165657
Human,Human,Unclassified,Healthy,Smart-seq2,scRNA-seq,2024,GSE86982
Human,Human,Unclassified,Healthy,Chromium,scRNA-seq,2024,GSE260498
Human,Human,Cerebral cortex,Healthy,Chromium,scRNA-seq,2020,GSE135618
Human,Human,Limbic system,Healthy,Chromium,snRNA-seq,2022,GSE163737
Human,Human,Limbic system,Healthy,Chromium,snRNA-seq,2024,GSE264624
Human,Human,Spinal Cord,Healthy,Chromium,scRNA-seq,2024,GSE221692
Human,Human,Cerebral cortex,Healthy,Chromium,snRNA-seq,2022,GSE168408
Human,Human,Cerebral cortex,Healthy,Chromium,snRNA-seq,2023,GSE229169
Human,Human,Cerebral cortex,Healthy,Chromium,snRNA-seq,2023,GSE246760
Human,Human,Cerebral cortex,Healthy,Chromium,snRNA-seq,2024,GSE199762_1
Human,Human,Cerebral cortex,Healthy,Chromium,snRNA-seq,2024,GSE199762_2
Human,Human,Unclassified,Healthy,Chromium,scRNA-seq,2024,GSE183627
Human,Human,Unclassified,Healthy,Chromium,snRNA-seq,2023,GSE192773
Human,Human,Unclassified,Healthy,Chromium,scRNA-seq,2024,GSE233295
Human,Human,Unclassified,Healthy,Chromium,scRNA-seq,2023,GSE155121
Human,Human,Unclassified,Healthy,Chromium,snRNA-seq,2023,GSE211140
Human,Human,Unclassified,Healthy,Chromium,snRNA-seq,2024,GSE226975
Human,Human,Unclassified,Healthy,Chromium,snRNA-seq,2024,GSE221988
Human,Human,Cerebral cortex,Healthy,Chromium,snRNA-seq,2023,GSE219280
