Gene_ID	Gene_Key	Ensembl_IDs	Gene_Type
FLJ13224	ENSEMBL:ENSG00000177340	ENSG00000177340	lncRNA
FLJ40194	ENSEMBL:ENSG00000177369	ENSG00000177369	lncRNA
FLJ40288	ENSEMBL:ENSG00000183470	ENSG00000183470	lncRNA
LL22NC01-81G9.3	ENSEMBL:ENSG00000215403	ENSG00000215403	lncRNA
PP12613	ENSEMBL:ENSG00000226757	ENSG00000226757	lncRNA
SPATA13	ENSEMBL:ENSG00000228741	ENSG00000228741	lncRNA
GS1-600G8.3	ENSEMBL:ENSG00000231216	ENSG00000231216	lncRNA
LINC03025	ENSEMBL:ENSG00000234394	ENSG00000234394	lncRNA
HRAT17	ENSEMBL:ENSG00000234520	ENSG00000234520	lncRNA
MGC27382	ENSEMBL:ENSG00000237413	ENSG00000237413	lncRNA
ELFN2	ENSEMBL:ENSG00000243902	ENSG00000243902	lncRNA
GS1-24F4.2	ENSEMBL:ENSG00000245857	ENSG00000245857	lncRNA
MGC16275	ENSEMBL:ENSG00000246731	ENSG00000246731	lncRNA
FLJ46284	ENSEMBL:ENSG00000248858	ENSG00000248858	lncRNA
IFNAR2-IL10RB	ENSEMBL:ENSG00000249624	ENSG00000249624	protein_coding
CTB-1I21.1	ENSEMBL:ENSG00000249803	ENSG00000249803	lncRNA
EFNA4-EFNA3	ENSEMBL:ENSG00000251246	ENSG00000251246	protein_coding
CRAT37	ENSEMBL:ENSG00000258551	ENSG00000258551	lncRNA
MGC15885	ENSEMBL:ENSG00000259458	ENSG00000259458	lncRNA
GS1-204I12.4	ENSEMBL:ENSG00000261729	ENSG00000261729	lncRNA
DKFZP434A062	ENSEMBL:ENSG00000262075	ENSG00000262075	lncRNA
AA06	ENSEMBL:ENSG00000265544	ENSG00000265544	lncRNA
CTB-30L5.1	ENSEMBL:ENSG00000267052	ENSG00000267052	lncRNA
KC6	ENSEMBL:ENSG00000267313	ENSG00000267313	lncRNA
LINC01115	ENSEMBL:ENSG00000272342	ENSG00000272342	lncRNA
FLJ16779	ENSEMBL:ENSG00000275620	ENSG00000275620	lncRNA
FLJ36000	ENSEMBL:ENSG00000276399	ENSG00000276399	lncRNA
LINC03021	ENSEMBL:ENSG00000277526	ENSG00000277526	lncRNA
HPAT5	ENSEMBL:ENSG00000280707	ENSG00000280707	lncRNA
LL0XNC01-250H12.3	ENSEMBL:ENSG00000281091	ENSG00000281091	lncRNA
MGC4859	ENSEMBL:ENSG00000283117	ENSG00000283117	lncRNA
KBTBD11-OT1	ENSEMBL:ENSG00000283239	ENSG00000283239	protein_coding
PDE8B	ENSEMBL:ENSG00000284762	ENSG00000284762	protein_coding
PDE4C	ENSEMBL:ENSG00000285188	ENSG00000285188	protein_coding
C4orf36	ENSEMBL:ENSG00000285458	ENSG00000285458	protein_coding
KYAT1	ENSEMBL:ENSG00000286112	ENSG00000286112	protein_coding
THCAT155	ENSEMBL:ENSG00000287243	ENSG00000287243	lncRNA
HERC3	ENSEMBL:ENSG00000287542	ENSG00000287542	protein_coding
TARP	ENSEMBL:ENSG00000289746	ENSG00000289746	protein_coding
PKD1P6-NPIPP1	ENSEMBL:ENSG00000290394	ENSG00000290394	lncRNA
ACTG1P17	ENSEMBL:ENSG00000293222	ENSG00000293222	lncRNA
ASIC1	HGNC:100	ENSG00000110881	protein_coding
RGS4	HGNC:10000	ENSG00000117152	protein_coding
RGS5	HGNC:10001	ENSG00000143248	protein_coding
RGS6	HGNC:10002	ENSG00000182732	protein_coding
RGS7	HGNC:10003	ENSG00000182901	protein_coding
RGS9	HGNC:10004	ENSG00000108370	protein_coding
RHAG	HGNC:10006	ENSG00000112077	protein_coding
RHBDL1	HGNC:10007	ENSG00000103269	protein_coding
RHCE	HGNC:10008	ENSG00000188672	protein_coding
RHD	HGNC:10009	ENSG00000187010	protein_coding
BCL6	HGNC:1001	ENSG00000113916	protein_coding
RHEB	HGNC:10011	ENSG00000106615	protein_coding
RHO	HGNC:10012	ENSG00000163914	protein_coding
GRK1	HGNC:10013	ENSG00000185974	protein_coding
RIT2	HGNC:10017	ENSG00000152214	protein_coding
RING1	HGNC:10018	ENSG00000204227	protein_coding
RIPK1	HGNC:10019	ENSG00000137275	protein_coding
BCL6B	HGNC:1002	ENSG00000161940	protein_coding
RIPK2	HGNC:10020	ENSG00000104312	protein_coding
RIPK3	HGNC:10021	ENSG00000129465	protein_coding
RIT1	HGNC:10023	ENSG00000143622	protein_coding
RLBP1	HGNC:10024	ENSG00000140522	protein_coding
RLF	HGNC:10025	ENSG00000117000	protein_coding
RLN1	HGNC:10026	ENSG00000107018	protein_coding
RLN2	HGNC:10027	ENSG00000107014	protein_coding
BCL7A	HGNC:1004	ENSG00000110987	protein_coding
RNASE1	HGNC:10044	ENSG00000129538	protein_coding
RNASE2	HGNC:10045	ENSG00000169385	protein_coding
RNASE3	HGNC:10046	ENSG00000169397	protein_coding
RNASE4	HGNC:10047	ENSG00000258818	protein_coding
RNASE6	HGNC:10048	ENSG00000169413	protein_coding
BCL7B	HGNC:1005	ENSG00000106635	protein_coding
RNASEL	HGNC:10050	ENSG00000135828	protein_coding
RNF10	HGNC:10055	ENSG00000022840	protein_coding
RNF11	HGNC:10056	ENSG00000123091	protein_coding
RNF13	HGNC:10057	ENSG00000082996	protein_coding
RNF14	HGNC:10058	ENSG00000013561	protein_coding
TRIM38	HGNC:10059	ENSG00000112343	protein_coding
BCL7C	HGNC:1006	ENSG00000099385	protein_coding
RNF17	HGNC:10060	ENSG00000132972	protein_coding
RNF2	HGNC:10061	ENSG00000121481	protein_coding
