dataset	source_accession	source_repository	publication_doi	verified_title	journal	publication_year	access_status	download_script	source_url	repository_record_url	raw_data_access_status	processed_input_access_status
AllenM1	AllenM1	Allen Brain Map	10.1038/s41586-021-03465-8	Comparative cellular analysis of motor cortex in human, marmoset and mouse	Nature	2021	public	download/AllenM1.sh	https://brain-map.org/our-research/cell-types-taxonomies/cell-types-database-rna-seq-data/human-m1-10x	https://brain-map.org/our-research/cell-types-taxonomies/cell-types-database-rna-seq-data/human-m1-10x		
EGAD00001006049	EGAD00001006049; EGAS00001004107	Human Cell Atlas / EGA	10.1126/science.adf1226	Comprehensive cell atlas of the first-trimester developing human brain	Science	2023	public-processed-and-controlled-raw		https://explore.data.humancellatlas.dev.clevercanary.com/projects/cbd2911f-252b-4428-abde-69e270aefdfc	https://ega-archive.org/datasets/EGAD00001006049		
EGAS00001006537	EGAS00001006537; EGAD00001009303	Figshare / EGA	10.1016/j.biopsych.2022.06.033	Single-Nuclei RNA Sequencing of 5 Regions of the Human Prenatal Brain Implicates Developing Neuron Populations in Genetic Risk for Schizophrenia	Biological Psychiatry	2023	public-processed-and-controlled-raw	download/EGAS00001006537.sh	https://figshare.com/articles/dataset/11629311	https://ega-archive.org/studies/EGAS00001006537		
GSE104276	GSE104276	GEO	10.1038/nature25980	A single-cell RNA-seq survey of the developmental landscape of the human prefrontal cortex	Nature	2018	public	download/GSE104276.sh	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104276/suppl/	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104276		
GSE168408	GSE168408	GEO / Lister Lab public Google Cloud bucket	10.1016/j.cell.2022.09.039	Human prefrontal cortex gene regulatory dynamics from gestation to adulthood at single-cell resolution	Cell	2022	public	download/GSE168408.sh	https://brain.listerlab.org/	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168408		
GSE186538	GSE186538	GEO	10.1016/j.neuron.2021.10.036	Transcriptomic taxonomy and neurogenic trajectories of adult human, macaque, and pig hippocampal and entorhinal cells	Neuron	2022	public	download/GSE186538.sh	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE186nnn/GSE186538/suppl/	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186538		
GSE204683	GSE204683	GEO / CELLxGENE	10.1126/sciadv.adg3754	Multi-omic profiling of the developing human cerebral cortex at the single-cell level	Science Advances	2023	public	download/GSE204683.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE204683	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE204683		
GSE207334	GSE207334	GEO	10.1126/science.abo7257	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	Science	2022	public	download/GSE207334.sh	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207334/suppl/	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207334		
GSE212606	GSE212606	GEO	10.1038/s41588-023-01572-y	A global view of aging and Alzheimer’s pathogenesis-associated cell population dynamics and molecular signatures in human and mouse brains	Nature Genetics	2023	public processed input; human raw not provided	download/GSE212606.sh	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE212nnn/GSE212606/suppl/	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212606	human scRNA-seq raw data not provided by GEO because of patient privacy; mouse SRA links do not establish human raw availability	public GEO human EasySci-RNA processed matrix GSM6657986_gene_count.txt.gz in GSE212606_RAW.tar
GSE217511	GSE217511	GEO	10.1038/s41467-022-34975-2	An atlas of late prenatal human neurodevelopment resolved by single-nucleus transcriptomics	Nature Communications	2022	public	download/GSE217511.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217511	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217511		
