Dataset	Publication_DOI	Processed_Input_Route	Processed_Input_URLs	Processed_Record_URL	Data_License	Derived_Matrix_Scope	Article_License_URL
AllenM1	10.1038/s41586-021-03465-8	Allen Human M1 10x author download; matrix.csv and metadata.csv	https://idk-etl-prod-download-bucket.s3.amazonaws.com/aibs_human_m1_10x/matrix.csv	https://brain-map.org/our-research/cell-types-taxonomies/cell-types-database-rna-seq-data/human-m1-10x	Allen Institute terms: research/noncommercial use; BICCN applies CC BY 4.0 to its open-access data	Research/noncommercial use; citation required	https://api.crossref.org/works/10.1038/s41586-021-03465-8
EGAS00001006537	10.1016/j.biopsych.2022.06.033	Figshare article 11629311 v1: five prenatal-region raw-count expression tables; count tables are processed inputs, not sequencing reads	https://ndownloader.figshare.com/files/36712266; https://ndownloader.figshare.com/files/36712272; https://ndownloader.figshare.com/files/36712278; https://ndownloader.figshare.com/files/36712284; https://ndownloader.figshare.com/files/36712290	https://figshare.com/articles/dataset/11629311	Figshare record: CC BY 4.0	CC BY 4.0: attribution, licence link and change notice	https://api.crossref.org/works/10.1016/j.biopsych.2022.06.033
GSE104276	10.1038/nature25980	GEO deposited processed input: GSE104276_all_pfc_2394_UMI_count_NOERCC.xls.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104276/suppl/GSE104276_all_pfc_2394_UMI_count_NOERCC.xls.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104276	GEO: NCBI Molecular Data Usage policy; no dataset-specific CC grant in the record	Repository-level evidence only; no new CC0/CC BY grant per submitter	https://api.crossref.org/works/10.1038/nature25980
GSE168408	10.1016/j.cell.2022.09.039	Author ListerLab portal / Google Cloud RNA-all_full-counts-and-downsampled-CPM.h5ad	https://storage.googleapis.com/neuro-dev/Processed_data/RNA-all_full-counts-and-downsampled-CPM.h5ad	https://brain.listerlab.org/	Author portal: processed cloud data public; no data-specific licence; GEO files deposited separately	Redistribution scope for the author H5AD not documented	https://api.crossref.org/works/10.1016/j.cell.2022.09.039
GSE186538	10.1016/j.neuron.2021.10.036	GEO deposited processed input: GSE186538_Human_counts.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE186nnn/GSE186538/suppl/GSE186538_Human_counts.mtx.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186538	GEO: NCBI Molecular Data Usage policy; no dataset-specific CC grant in the record	Repository-level evidence only; no new CC0/CC BY grant per submitter	https://api.crossref.org/works/10.1016/j.neuron.2021.10.036
GSE204683	10.1126/sciadv.adg3754	GEO deposited processed input: GSE204683_count_matrix.RDS.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE204nnn/GSE204683/suppl/GSE204683_count_matrix.RDS.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE204683	GEO: NCBI Molecular Data Usage policy; no dataset-specific CC grant in the record	Repository-level evidence only; no new CC0/CC BY grant per submitter	https://api.crossref.org/works/10.1126/sciadv.adg3754
GSE207334	10.1126/science.abo7257	GEO deposited processed input: GSE207334_Multiome_rna_counts.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207334/suppl/GSE207334_Multiome_rna_counts.mtx.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207334	GEO: NCBI Molecular Data Usage policy; no dataset-specific CC grant in the record	Repository-level evidence only; no new CC0/CC BY grant per submitter	https://api.crossref.org/works/10.1126/science.abo7257
GSE212606	10.1038/s41588-023-01572-y	GEO GSM6657986_gene_count.txt.gz human EasySci matrix in GSE212606_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE212nnn/GSE212606/suppl/GSE212606_RAW.tar	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212606	GEO: NCBI Molecular Data Usage policy; no dataset-specific CC grant in the record	Repository-level evidence only; no new CC0/CC BY grant per submitter	https://api.crossref.org/works/10.1038/s41588-023-01572-y
GSE217511	10.1038/s41467-022-34975-2	GEO deposited processed input: GSE217511_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE217nnn/GSE217511/suppl/GSE217511_RAW.tar	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217511	GEO: NCBI Molecular Data Usage policy; no dataset-specific CC grant in the record	Repository-level evidence only; no new CC0/CC BY grant per submitter	https://api.crossref.org/works/10.1038/s41467-022-34975-2
GSE294786	10.1126/sciadv.aea3316	GEO deposited processed input: GSE294786_all_counts_transposed.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE294nnn/GSE294786/suppl/GSE294786_all_counts_transposed.tsv.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294786	GEO: NCBI Molecular Data Usage policy; no dataset-specific CC grant in the record	Repository-level evidence only; no new CC0/CC BY grant per submitter	https://api.crossref.org/works/10.1126/sciadv.aea3316
GSE296073	10.1038/s41586-025-09362-8	Zenodo record 15299853: human h_pre_peri_DY.rds	https://zenodo.org/records/15299853/files/h_pre_peri_DY.rds?download=1	https://zenodo.org/records/15299853	Zenodo record: CC BY 4.0	Attribution, licence link and change notice required	https://api.crossref.org/works/10.1038/s41586-025-09362-8
GSE67835	10.1073/pnas.1507125112	GEO deposited processed input: GSE67835_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67835/suppl/GSE67835_RAW.tar	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67835	GEO: NCBI Molecular Data Usage policy; no dataset-specific CC grant in the record	Repository-level evidence only; no new CC0/CC BY grant per submitter	https://api.crossref.org/works/10.1073/pnas.1507125112
GSE81475	10.1016/j.celrep.2016.08.038	GEO deposited processed input: GSE81475_Zika.GEO.humanBrain.singleCell.gene.count.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81475/suppl/GSE81475_Zika.GEO.humanBrain.singleCell.gene.count.txt.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81475	GEO: NCBI Molecular Data Usage policy; no dataset-specific CC grant in the record	Repository-level evidence only; no new CC0/CC BY grant per submitter	https://api.crossref.org/works/10.1016/j.celrep.2016.08.038
GSE97942	10.1038/nbt.4038	GSE97930 snDrop-seq frontal/visual/cerebellar UMI matrices under super-series GSE97942	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97930/suppl/GSE97930_CerebellarHem_snDrop-seq_UMI_Count_Matrix_08-01-2017.txt.gz; https://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97930/suppl/GSE97930_FrontalCortex_snDrop-seq_UMI_Count_Matrix_08-01-2017.txt.gz; https://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97930/suppl/GSE97930_VisualCortex_snDrop-seq_UMI_Count_Matrix_08-01-2017.txt.gz	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE97930	GEO: NCBI Molecular Data Usage policy; no dataset-specific CC grant in the record	Repository-level evidence only; no new CC0/CC BY grant per submitter	https://api.crossref.org/works/10.1038/nbt.4038
HYPOMAP	10.1038/s41586-024-08504-8	CELLxGENE curated H5AD; exact dataset_version_id af06d70d-a2bc-43c1-8378-bc545bc8ee2c	https://datasets.cellxgene.cziscience.com/af06d70d-a2bc-43c1-8378-bc545bc8ee2c.h5ad	https://cellxgene.cziscience.com/collections/d0941303-7ce3-4422-9249-cf31eb98c480	CELLxGENE submission policy: CC BY 4.0	Attribution, licence link and documented modifications required	https://api.crossref.org/works/10.1038/s41586-024-08504-8
Li_et_al_2018	10.1126/science.aat7615	PsychENCODE author Rdata: Sestan.fetalHuman.Psychencode.Rdata, Sestan.adultHumanNuclei.Psychencode.Rdata	http://development.psychencode.org/	http://development.psychencode.org/	Primary paper route: development.psychencode.org; no licence notice for the two RData files	Redistribution of the two RData-derived components not documented	https://api.crossref.org/works/10.1126/science.aat7615
Ma_et_al_2022	10.1126/science.abo7257	Ma_Sestan_mat.rds; not the GEO Multiome RNA matrix	http://resources.sestanlab.org/PFC/	https://assets.nemoarchive.org/collection/nemo:dat-zg0tsi2	NeMO Analysis child: open access with BICCN CC BY policy	CC BY 4.0 applies to the processed source; RDS-derived component scope not documented	https://api.crossref.org/works/10.1126/science.abo7257
PRJCA015229	10.1016/j.xgen.2024.100703	OMIX005925 human ACC filtered matrices: -01 to -04 multiome RNA and -05/-06 snRNA; six human samples	https://download.cncb.ac.cn/OMIX/OMIX005925/OMIX005925-01.tar.gz; https://download.cncb.ac.cn/OMIX/OMIX005925/OMIX005925-02.tar.gz; https://download.cncb.ac.cn/OMIX/OMIX005925/OMIX005925-03.tar.gz; https://download.cncb.ac.cn/OMIX/OMIX005925/OMIX005925-04.tar.gz; https://download.cncb.ac.cn/OMIX/OMIX005925/OMIX005925-05.tar.gz; https://download.cncb.ac.cn/OMIX/OMIX005925/OMIX005925-06.tar.gz	https://ngdc.cncb.ac.cn/omix/release/OMIX005925	OMIX: open access; usage terms include a no-distribution clause	Third-party redistribution not documented	https://api.crossref.org/works/10.1016/j.xgen.2024.100703
