Baseline	Perturbed	Freq
C0	C0	131708
C1	C1	116605
C10	C10	66201
C11	C11	64233
C12	C12	59340
C13	C13	55024
C14	C14	55005
C15	C15	53524
C16	C16	50018
C17	C17	49635
C18	C18	47583
C19	C19	46237
C2	C2	104961
C20	C20	45939
C21	C21	44264
C22	C22	43486
C23	C23	43006
C24	C24	42811
C25	C25	41936
C26	C26	41045
C27	C27	40135
C28	C28	40033
C29	C29	39267
C3	C3	99452
C30	C30	38918
C31	C31	38799
C32	C32	37149
C33	C33	34847
C34	C34	34214
C35	C35	32917
C36	C36	31586
C37	C37	31055
C38	C38	30771
C39	C39	30031
C4	C4	86588
C40	C40	29315
C41	C41	28669
C42	C42	28279
C43	C43	27607
C44	C44	25198
C45	C45	18516
C46	C46	16140
C47	C47	14990
C48	C48	14772
C49	C49	13604
C5	C5	83192
C50	C50	13278
C51	C51	12898
C52	C52	11947
C53	C53	11535
C54	C54	11207
C55	C55	11147
C56	C56	9883
C57	C57	9625
C58	C58	9099
C59	C59	7729
C6	C6	80099
C60	C60	6398
C61	C61	5651
C62	C62	5289
C63	C63	4586
C64	C64	4122
C65	C65	4099
C66	C66	3624
C67	C67	3539
C68	C68	2856
C69	C69	2074
C7	C7	75836
C70	C70	1488
C71	C71	1147
C72	C72	732
C73	C73	674
C74	C74	591
C8	C8	72416
C9	C9	69857
