Baseline	Cells	Largest_Fragment_Fraction	Best_Jaccard	Fragments
C0	131708	0.5598520970632	0.503568282239174	7
C1	116605	0.769855495047382	0.479202476912401	5
C10	66201	0.943490279603027	0.63862418714981	12
C11	64233	0.995672006600968	0.747994198966106	7
C12	59340	0.899764071452646	0.897058082293049	5
C13	55024	0.998691480081419	0.893572044164756	6
C14	55005	0.996254885919462	0.976757036165624	12
C15	53524	0.856980046334355	0.743998572633491	15
C16	50018	0.954556359710504	0.873378820860848	6
C17	49635	0.984305429636345	0.78676908707345	22
C18	47583	0.960532122816972	0.886546145788882	12
C19	46237	0.918852866751736	0.796240418314373	3
C2	104961	0.898905307685712	0.882014751661665	4
C20	45939	0.757743964822917	0.496604656471125	10
C21	44264	0.915235857581782	0.815787354007249	27
C22	43486	0.992848273007405	0.737895438464562	5
C23	43006	0.647398037483142	0.280512624176356	8
C24	42811	0.511620845109902	0.239396485587988	5
C25	41936	0.871017741320107	0.866246116631489	10
C26	41045	0.858399317821903	0.519860123351138	16
C27	40135	0.861043976579046	0.359544716800533	19
C28	40033	0.963405190717658	0.904778661411781	11
C29	39267	0.994830264598773	0.543991087592257	10
C3	99452	0.994942283714757	0.7445932726315	11
C30	38918	0.955958682357778	0.82898460304374	15
C31	38799	0.870460578880899	0.858468264660278	15
C32	37149	0.973915852378261	0.831189119647124	21
C33	34847	0.737194019571269	0.262378793964083	7
C34	34214	0.971853627170164	0.922050912317675	20
C35	32917	0.861530516146672	0.841588271952993	10
C36	31586	0.944912302919015	0.406915074917856	8
C37	31055	0.977877958460795	0.973895195946379	16
C38	30771	0.99834259530077	0.996917085834821	11
C39	30031	0.996437015084413	0.330119365443594	3
C4	86588	0.781320737284612	0.75744819015417	13
C40	29315	0.87098754903633	0.790128423332818	12
C41	28669	0.991035613380306	0.97224788693837	12
C42	28279	0.91506064570883	0.268252734152283	6
C43	27607	0.887202521099721	0.862429577464789	12
C44	25198	0.714024922612906	0.260120286837844	10
C45	18516	0.96251890257075	0.668391839183918	13
C46	16140	0.790396530359356	0.783166554116275	11
C47	14990	0.995530353569046	0.942049113061044	8
C48	14772	0.96872461413485	0.963441728943648	13
C49	13604	0.930167597765363	0.924054330363663	6
C5	83192	0.950860659678815	0.919482512117725	15
C50	13278	0.93621027263142	0.69346201048756	17
C51	12898	0.962009613893627	0.959554558812157	10
C52	11947	0.994224491504143	0.982383591100819	3
C53	11535	0.974425661031643	0.973328714928992	7
C54	11207	0.995806192558223	0.977832296503987	10
C55	11147	0.989145061451512	0.960034828036569	9
C56	9883	0.986947283213599	0.966795519873129	6
C57	9625	0.975168831168831	0.908791634391944	3
C58	9099	0.996153423453127	0.994623065949742	8
C59	7729	0.983050847457627	0.974977543949698	8
C6	80099	0.997702842732119	0.710159867058855	9
C60	6398	0.629415442325727	0.207043701799486	10
C61	5651	0.667138559546983	0.0627486226926982	13
C62	5289	0.986197768954434	0.976230582069998	4
C63	4586	0.649803750545137	0.047358718454008	21
C64	4122	0.978651140223193	0.968082553395728	11
C65	4099	0.986826055135399	0.970256656272487	8
C66	3624	0.995584988962472	0.968070834451301	3
C67	3539	0.994066120372987	0.988479910087103	7
C68	2856	0.998949579831933	0.057510885341074	4
C69	2074	0.580038572806172	0.0334445371142619	5
C7	75836	0.804327759902948	0.764220206474892	33
C70	1488	0.991935483870968	0.98861352980576	5
C71	1147	0.53182214472537	0.528138528138528	9
C72	732	0.998633879781421	0.991858887381275	2
C73	674	0.979228486646884	0.0653271305552806	4
C74	591	0.998307952622673	0.996621621621622	2
C8	72416	0.941449403446752	0.891003188875529	8
C9	69857	0.791388121448101	0.560331633945856	5
