Baseline	Cells	Largest_Fragment_Fraction	Best_Jaccard	Fragments	Task
C0	131708	1	1	1	1
C1	116605	1	1	1	1
C10	66201	1	1	1	1
C11	64233	1	1	1	1
C12	59340	1	1	1	1
C13	55024	1	1	1	1
C14	55005	1	1	1	1
C15	53524	1	1	1	1
C16	50018	1	1	1	1
C17	49635	1	1	1	1
C18	47583	1	1	1	1
C19	46237	1	1	1	1
C2	104961	1	1	1	1
C20	45939	1	1	1	1
C21	44264	1	1	1	1
C22	43486	1	1	1	1
C23	43006	1	1	1	1
C24	42811	1	1	1	1
C25	41936	1	1	1	1
C26	41045	1	1	1	1
C27	40135	1	1	1	1
C28	40033	1	1	1	1
C29	39267	1	1	1	1
C3	99452	1	1	1	1
C30	38918	1	1	1	1
C31	38799	1	1	1	1
C32	37149	1	1	1	1
C33	34847	1	1	1	1
C34	34214	1	1	1	1
C35	32917	1	1	1	1
C36	31586	1	1	1	1
C37	31055	1	1	1	1
C38	30771	1	1	1	1
C39	30031	1	1	1	1
C4	86588	1	1	1	1
C40	29315	1	1	1	1
C41	28669	1	1	1	1
C42	28279	1	1	1	1
C43	27607	1	1	1	1
C44	25198	1	1	1	1
C45	18516	1	1	1	1
C46	16140	1	1	1	1
C47	14990	1	1	1	1
C48	14772	1	1	1	1
C49	13604	1	1	1	1
C5	83192	1	1	1	1
C50	13278	1	1	1	1
C51	12898	1	1	1	1
C52	11947	1	1	1	1
C53	11535	1	1	1	1
C54	11207	1	1	1	1
C55	11147	1	1	1	1
C56	9883	1	1	1	1
C57	9625	1	1	1	1
C58	9099	1	1	1	1
C59	7729	1	1	1	1
C6	80099	1	1	1	1
C60	6398	1	1	1	1
C61	5651	1	1	1	1
C62	5289	1	1	1	1
C63	4586	1	1	1	1
C64	4122	1	1	1	1
C65	4099	1	1	1	1
C66	3624	1	1	1	1
C67	3539	1	1	1	1
C68	2856	1	1	1	1
C69	2074	1	1	1	1
C7	75836	1	1	1	1
C70	1488	1	1	1	1
C71	1147	1	1	1	1
C72	732	1	1	1	1
C73	674	1	1	1	1
C74	591	1	1	1	1
C8	72416	1	1	1	1
C9	69857	1	1	1	1
C0	131708	0.78992164485073	0.724530798426129	7	2
C1	116605	0.91392307362463	0.707336337871115	9	2
C10	66201	0.54988595338439	0.501121925030629	13	2
C11	64233	0.886662618903056	0.545124764302191	12	2
C12	59340	0.916397034041119	0.90482370754921	6	2
C13	55024	0.978245856353591	0.955972720491599	10	2
C14	55005	0.995982183437869	0.983501786259268	15	2
C15	53524	0.928873028921605	0.808972126852922	13	2
C16	50018	0.942880562997321	0.883793710880402	11	2
C17	49635	0.974513951848494	0.741552707426259	26	2
C18	47583	0.935481159237543	0.896860896196003	16	2
C19	46237	0.787248307632416	0.727054828722661	7	2
C2	104961	0.94646583016549	0.945331011447658	5	2
C20	45939	0.739502383595638	0.476713020782173	12	2
C21	44264	0.783548707753479	0.66433620012642	32	2
C22	43486	0.999517085958699	0.872721066580997	8	2
C23	43006	0.73998976886946	0.304401890077095	8	2
C24	42811	0.499474434140758	0.473043824524921	13	2
C25	41936	0.931824685234643	0.90332647541552	9	2
C26	41045	0.852454622974784	0.830205243801163	16	2
C27	40135	0.848810265354429	0.812453793136343	22	2
C28	40033	0.608048360102915	0.376821273964131	14	2
C29	39267	0.985789594315838	0.535038978271687	9	2
C3	99452	0.960644330933516	0.852408993576017	13	2
C30	38918	0.73536666837967	0.4791555049558	15	2
C31	38799	0.966674398824712	0.885201793721973	13	2
C32	37149	0.981937602627258	0.831995255907308	27	2
C33	34847	0.925445518982983	0.921926815323042	7	2
C34	34214	0.984684632021979	0.973305598890622	18	2
C35	32917	0.918309688003159	0.910098151381947	12	2
C36	31586	0.967548914075856	0.419707477854838	7	2
C37	31055	0.977749154725487	0.970654050252541	16	2
C38	30771	0.998147606512626	0.997726091476091	8	2
C39	30031	0.989710632346575	0.922785556831941	4	2
C4	86588	0.556913198133691	0.430407540298827	17	2
C40	29315	0.790585024731366	0.7246576199112	14	2
C41	28669	0.994837629495274	0.967239800590091	13	2
C42	28279	0.886806464160685	0.4784873404438	4	2
C43	27607	0.696924693012642	0.332895010035297	19	2
C44	25198	0.99531708865783	0.815265091180964	11	2
C45	18516	0.946154677036077	0.944777004799655	16	2
C46	16140	0.844919454770756	0.739373237909347	11	2
C47	14990	0.998599066044029	0.920829232283465	5	2
C48	14772	0.951056051990252	0.949513381995134	12	2
C49	13604	0.917450749779477	0.877090653548841	5	2
C5	83192	0.909943263775363	0.906738854418705	18	2
C50	13278	0.966410604006627	0.714039285515553	11	2
C51	12898	0.997363932392619	0.986276163459327	8	2
C52	11947	0.987360843726458	0.986617597858816	7	2
C53	11535	0.997052449068054	0.970630432947928	5	2
C54	11207	0.997144641741769	0.955454856361149	9	2
C55	11147	0.98878622050776	0.976608187134503	10	2
C56	9883	0.991601740362238	0.98009800980098	7	2
C57	9625	0.998753246753247	0.992565823438307	4	2
C58	9099	0.997362347510716	0.919918905220476	6	2
C59	7729	0.989519989649372	0.96981993406036	8	2
C6	80099	0.959724840509869	0.857297393748118	11	2
C60	6398	0.671459831197249	0.218882152137362	14	2
C61	5651	0.884445230932578	0.865454545454545	15	2
C62	5289	0.982227264133106	0.97834274952919	7	2
C63	4586	0.609027474923681	0.0757552983616414	22	2
C64	4122	0.970887918486172	0.965733590733591	14	2
C65	4099	0.98755794096121	0.966802006209697	6	2
C66	3624	0.999724061810154	0.857514792899408	2	2
C67	3539	0.998304605820853	0.994370954123276	4	2
C68	2856	0.993347338935574	0.975584594222834	6	2
C69	2074	0.92092574734812	0.69835466179159	6	2
C7	75836	0.902078168679783	0.874305067416448	32	2
C70	1488	0.996639784946237	0.968647942521228	6	2
C71	1147	0.983435047951177	0.90167865707434	6	2
C72	732	0.997267759562842	0.990502035278155	3	2
C73	674	0.985163204747775	0.973607038123167	5	2
C74	591	1	0.994949494949495	1	2
C8	72416	0.487364670790985	0.458034200989376	14	2
C9	69857	0.831555892752337	0.552548724924142	4	2
C0	131708	0.825014425851125	0.822541331072488	9	3
C1	116605	0.725251918871404	0.619913648392086	10	3
C10	66201	0.554583767616803	0.390279682367573	11	3
C11	64233	0.958790652779724	0.927947203471553	8	3
C12	59340	0.899410178631614	0.895381414934488	6	3
C13	55024	0.998800523407967	0.904122659822986	7	3
C14	55005	0.992200709026452	0.982713915298185	13	3
C15	53524	0.824658097302145	0.785908872389295	21	3
C16	50018	0.896617217801591	0.889062902682235	8	3
C17	49635	0.974554245995769	0.8341582024177	21	3
C18	47583	0.954962906920539	0.86111163751445	14	3
C19	46237	0.961221532538876	0.916843733883445	6	3
C2	104961	0.999771343641924	0.95066269262477	5	3
C20	45939	0.824114586734583	0.429825158946412	10	3
C21	44264	0.947745346105187	0.885023522710491	32	3
C22	43486	0.912500574897668	0.89698901396989	5	3
C23	43006	0.992512672650328	0.668179896995977	6	3
C24	42811	0.557006376865759	0.47351072279587	8	3
C25	41936	0.896294353300267	0.867839578859874	11	3
C26	41045	0.764770373979778	0.680660060281458	19	3
C27	40135	0.847140899464308	0.458394003127865	25	3
C28	40033	0.982939075262908	0.915883064891537	14	3
C29	39267	0.985687727608424	0.521813573489363	11	3
C3	99452	0.878785745887463	0.716621432144116	11	3
C30	38918	0.930674752042757	0.82995348410898	15	3
C31	38799	0.985747055336478	0.861881690140845	13	3
C32	37149	0.975638644378045	0.888180949346926	28	3
C33	34847	0.893620684707435	0.882277943051424	7	3
C34	34214	0.963202197930672	0.922644045019318	20	3
C35	32917	0.929732357140687	0.915355626009451	13	3
C36	31586	0.959539036281897	0.404700226999599	9	3
C37	31055	0.966961841893415	0.954331659569059	13	3
C38	30771	0.998635078482987	0.996950329299549	10	3
C39	30031	0.99740268389331	0.439741613447846	4	3
C4	86588	0.969129671548021	0.931840138585055	13	3
C40	29315	0.904076411393485	0.826050367784566	10	3
C41	28669	0.983675747322892	0.976928672879066	12	3
C42	28279	0.8668976979384	0.358679112775794	8	3
C43	27607	0.951751367406817	0.929101838755304	10	3
C44	25198	0.714699579331693	0.461095322221369	11	3
C45	18516	0.962572909915749	0.689077904504156	13	3
C46	16140	0.827323420074349	0.819453820190242	12	3
C47	14990	0.998865910607071	0.606366176649253	5	3
C48	14772	0.591592201462226	0.284574554690807	11	3
C49	13604	0.992061158482799	0.96503396496246	5	3
C5	83192	0.983544090777959	0.965953227006033	18	3
C50	13278	0.960084350052719	0.91291893440275	18	3
C51	12898	0.985579159559622	0.976344086021505	13	3
C52	11947	0.992885243157278	0.982522985173528	4	3
C53	11535	0.996879063719116	0.982568572160984	5	3
C54	11207	0.995806192558223	0.659262759924386	7	3
C55	11147	0.993899703956221	0.984537456678219	8	3
C56	9883	0.994940807447131	0.938711217183771	6	3
C57	9625	0.997818181818182	0.994408780285773	4	3
C58	9099	0.998351467194197	0.994090610636901	8	3
C59	7729	0.997412343123302	0.978175358457049	7	3
C6	80099	0.963083184559108	0.878990907226362	10	3
C60	6398	0.95873710534542	0.756350184956843	12	3
C61	5651	0.651389134666431	0.600489396411093	13	3
C62	5289	0.982605407449423	0.981491973559962	6	3
C63	4586	0.668338421282163	0.228809931506849	21	3
C64	4122	0.975254730713246	0.964491362763916	6	3
C65	4099	0.998292266406441	0.967375886524823	4	3
C66	3624	0.989514348785872	0.792311091471498	4	3
C67	3539	0.996326645945182	0.987122060470325	7	3
C68	2856	0.999649859943978	0.60397715252803	2	3
C69	2074	0.57907425265188	0.386414754835807	6	3
C7	75836	0.85162719552719	0.805447470817121	33	3
C70	1488	0.99260752688172	0.98270126413839	6	3
C71	1147	0.951176983435048	0.869322709163347	8	3
C72	732	0.998633879781421	0.99591280653951	2	3
C73	674	0.997032640949555	0.021085660495764	3	3
C74	591	0.998307952622673	0.993265993265993	2	3
C8	72416	0.948436809544852	0.925820583675945	10	3
C9	69857	0.943656326495555	0.910184187998785	5	3
C0	131708	0.5598520970632	0.503568282239174	7	4
C1	116605	0.769855495047382	0.479202476912401	5	4
C10	66201	0.943490279603027	0.63862418714981	12	4
C11	64233	0.995672006600968	0.747994198966106	7	4
C12	59340	0.899764071452646	0.897058082293049	5	4
C13	55024	0.998691480081419	0.893572044164756	6	4
C14	55005	0.996254885919462	0.976757036165624	12	4
C15	53524	0.856980046334355	0.743998572633491	15	4
C16	50018	0.954556359710504	0.873378820860848	6	4
C17	49635	0.984305429636345	0.78676908707345	22	4
C18	47583	0.960532122816972	0.886546145788882	12	4
C19	46237	0.918852866751736	0.796240418314373	3	4
C2	104961	0.898905307685712	0.882014751661665	4	4
C20	45939	0.757743964822917	0.496604656471125	10	4
C21	44264	0.915235857581782	0.815787354007249	27	4
C22	43486	0.992848273007405	0.737895438464562	5	4
C23	43006	0.647398037483142	0.280512624176356	8	4
C24	42811	0.511620845109902	0.239396485587988	5	4
C25	41936	0.871017741320107	0.866246116631489	10	4
C26	41045	0.858399317821903	0.519860123351138	16	4
C27	40135	0.861043976579046	0.359544716800533	19	4
C28	40033	0.963405190717658	0.904778661411781	11	4
C29	39267	0.994830264598773	0.543991087592257	10	4
C3	99452	0.994942283714757	0.7445932726315	11	4
C30	38918	0.955958682357778	0.82898460304374	15	4
C31	38799	0.870460578880899	0.858468264660278	15	4
C32	37149	0.973915852378261	0.831189119647124	21	4
C33	34847	0.737194019571269	0.262378793964083	7	4
C34	34214	0.971853627170164	0.922050912317675	20	4
C35	32917	0.861530516146672	0.841588271952993	10	4
C36	31586	0.944912302919015	0.406915074917856	8	4
C37	31055	0.977877958460795	0.973895195946379	16	4
