Task	Dataset	Cells	Partition_ARI	Majority_Mapped_Class_Agreement
1	AllenM1	76533	1	1
1	EGAS00001006537	69373	1	1
1	GSE104276	2307	1	1
1	GSE168408	153473	1	1
1	GSE186538	219058	1	1
1	GSE204683	45549	1	1
1	GSE207334	56938	1	1
1	GSE212606	30801	1	1
1	GSE217511	150052	1	1
1	GSE294786	11842	1	1
1	GSE296073	121742	1	1
1	GSE67835	289	1	1
1	GSE81475	476	1	1
1	GSE97942	33425	1	1
1	HYPOMAP	311921	1	1
1	Li_et_al_2018	17360	1	1
1	Ma_et_al_2022	172120	1	1
1	PRJCA015229	40172	1	1
1	ROSMAP	172683	1	1
1	SomaMut	367317	1	1
1	Velmeshev_2023	353277	1	1
1	Wang_2025	195323	1	1
2	AllenM1	76533	0.705672380069805	0.99935975330903
2	EGAS00001006537	69373	0.836860864215464	0.844420740057371
2	GSE104276	2307	0.868956389441889	0.969657563935847
2	GSE168408	153473	0.761924522664963	0.986049663458719
2	GSE186538	219058	0.816778817094729	0.997982269535922
2	GSE204683	45549	0.840444137777126	0.981909591868098
2	GSE207334	56938	0.725656844603377	0.995170185113632
2	GSE212606	30801	0.781263761387198	0.995227427680919
2	GSE217511	150052	0.87293439663352	0.983632340788527
2	GSE294786	11842	0.865659915098333	0.984884310082756
2	GSE296073	121742	0.79102923252905	0.904749388050139
2	GSE67835	289	0.820213494448362	0.975778546712803
2	GSE81475	476	0.859060597481718	0.945378151260504
2	GSE97942	33425	0.825649221167739	0.990845175766642
2	HYPOMAP	311921	0.766648499709472	0.995912426543901
2	Li_et_al_2018	17360	0.717075884639144	0.992914746543779
2	Ma_et_al_2022	172120	0.76114308507171	0.998582384382989
2	PRJCA015229	40172	0.767900886534228	0.99434929801852
2	ROSMAP	172683	0.779117621406355	0.995824719283311
2	SomaMut	367317	0.778389323120147	0.990098470803148
2	Velmeshev_2023	353277	0.78206545477545	0.964532081058206
2	Wang_2025	195323	0.789831081296304	0.975962892234914
3	AllenM1	76533	0.928861200663968	0.998628042805064
3	EGAS00001006537	69373	0.886390042778276	0.984259005665028
3	GSE104276	2307	0.904216820694049	0.969657563935847
3	GSE168408	153473	0.82194120190032	0.991529454692356
3	GSE186538	219058	0.818720397788203	0.992198413205635
3	GSE204683	45549	0.86450006693374	0.952995674987376
3	GSE207334	56938	0.856049796403001	0.972408584776423
3	GSE212606	30801	0.768655404823696	0.978182526541346
3	GSE217511	150052	0.883256005844937	0.984272118998747
3	GSE294786	11842	0.869486788528191	0.993919945955075
3	GSE296073	121742	0.855803324841618	0.976253059749306
3	GSE67835	289	0.845446034625524	0.975778546712803
3	GSE81475	476	0.919109551887182	0.94327731092437
3	GSE97942	33425	0.874867036056683	0.985968586387435
3	HYPOMAP	311921	0.751075896918573	0.988532352743163
3	Li_et_al_2018	17360	0.897045801148761	0.991301843317972
3	Ma_et_al_2022	172120	0.808849285689503	0.98140250987683
3	PRJCA015229	40172	0.777114668947122	0.987105446579707
3	ROSMAP	172683	0.853868647112666	0.99356624566402
3	SomaMut	367317	0.833818724998298	0.98691048876039
3	Velmeshev_2023	353277	0.867944166379497	0.982101863410298
3	Wang_2025	195323	0.820811527585345	0.975358764712809
4	AllenM1	76533	0.862925182629611	0.998628042805064
4	EGAS00001006537	69373	0.873852811964487	0.987069897510559
4	GSE104276	2307	0.878551739012073	0.977893368010403
4	GSE168408	153473	0.692768616112087	0.99423351338672
4	GSE186538	219058	0.755510590109607	0.995932584064494
4	GSE204683	45549	0.814289622465034	0.980855781685657
4	GSE207334	56938	0.806109736934372	0.993993466577681
4	GSE212606	30801	0.719954748941566	0.988604266095257
4	GSE217511	150052	0.812965362956743	0.987271079359155
4	GSE294786	11842	0.821044534416088	0.98995102178686
4	GSE296073	121742	0.821981565152747	0.978626932365166
4	GSE67835	289	0.823963749376177	0.98961937716263
4	GSE81475	476	0.895156759479691	0.968487394957983
4	GSE97942	33425	0.81065724727866	0.986716529543755
4	HYPOMAP	311921	0.697334763663698	0.993969626924766
4	Li_et_al_2018	17360	0.792136416846131	0.992857142857143
4	Ma_et_al_2022	172120	0.729411025328265	0.993521961422264
4	PRJCA015229	40172	0.713695965884231	0.993975903614458
4	ROSMAP	172683	0.720066657525008	0.993780511109953
4	SomaMut	367317	0.752440653925728	0.990852587819241
4	Velmeshev_2023	353277	0.798657402440943	0.982251887329206
4	Wang_2025	195323	0.758689190869652	0.976546540857963
5	AllenM1	76533	0.760168986126964	0.998209922517084
5	EGAS00001006537	69373	0.745034023466478	0.979819238032087
5	GSE104276	2307	0.816885923034052	0.94668400520156
5	GSE168408	153473	0.720548704534286	0.991288369941293
5	GSE186538	219058	0.718444230995523	0.995800199034046
5	GSE204683	45549	0.78964483430943	0.959955213067246
5	GSE207334	56938	0.728262038885739	0.993554392497102
5	GSE212606	30801	0.605034108910174	0.987760137657868
5	GSE217511	150052	0.797264278338406	0.985704955615387
5	GSE294786	11842	0.80543593040508	0.990795473737544
5	GSE296073	121742	0.759671720993411	0.975899853789161
5	GSE67835	289	0.788214378739045	0.982698961937716
5	GSE81475	476	0.864736300143448	0.974789915966387
5	GSE97942	33425	0.795056496274141	0.980553477935677
5	HYPOMAP	311921	0.720873150366867	0.990670714700197
5	Li_et_al_2018	17360	0.757579418793387	0.990668202764977
5	Ma_et_al_2022	172120	0.68291093689032	0.99319079711829
5	PRJCA015229	40172	0.656753365372968	0.992805934481729
5	ROSMAP	172683	0.683149760286531	0.989472038359306
5	SomaMut	367317	0.725438334154301	0.988984991165669
5	Velmeshev_2023	353277	0.770284020698329	0.967886389433787
5	Wang_2025	195323	0.736177158115547	0.963347890417411
